Date as of,Start Date,End Date,State,County name,FIPS County Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
05/05/2021,01/01/2020,05/01/2021,AK,Aleutians East Borough,2013,Noncore,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Anchorage Municipality,2020,Medium metro,198,2976,
05/05/2021,01/01/2020,05/01/2021,AK,Bethel Census Area,2050,Noncore,16,143,
05/05/2021,01/01/2020,05/01/2021,AK,Dillingham Census Area,2070,Noncore,,34,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Fairbanks North Star Borough,2090,Small metro,42,703,
05/05/2021,01/01/2020,05/01/2021,AK,Hoonah-Angoon Census Area,2105,Noncore,,14,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Juneau City and Borough,2110,Micropolitan,,223,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Kenai Peninsula Borough,2122,Noncore,14,481,
05/05/2021,01/01/2020,05/01/2021,AK,Ketchikan Gateway Borough,2130,Micropolitan,,119,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Kodiak Island Borough,2150,Noncore,,85,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,39,831,
05/05/2021,01/01/2020,05/01/2021,AK,North Slope Borough,2185,Noncore,,49,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Valdez-Cordova Census Area,2261,Noncore,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AK,Wade Hampton Census Area,2270,Noncore,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AL,Autauga County,1001,Medium metro,91,691,
05/05/2021,01/01/2020,05/01/2021,AL,Baldwin County,1003,Small metro,249,3103,
05/05/2021,01/01/2020,05/01/2021,AL,Barbour County,1005,Noncore,35,370,
05/05/2021,01/01/2020,05/01/2021,AL,Bibb County,1007,Large fringe metro,30,252,
05/05/2021,01/01/2020,05/01/2021,AL,Blount County,1009,Large fringe metro,49,672,
05/05/2021,01/01/2020,05/01/2021,AL,Bullock County,1011,Noncore,,133,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AL,Butler County,1013,Noncore,32,308,
05/05/2021,01/01/2020,05/01/2021,AL,Calhoun County,1015,Small metro,286,2213,
05/05/2021,01/01/2020,05/01/2021,AL,Chambers County,1017,Micropolitan,39,500,
05/05/2021,01/01/2020,05/01/2021,AL,Cherokee County,1019,Noncore,16,390,
05/05/2021,01/01/2020,05/01/2021,AL,Chilton County,1021,Large fringe metro,30,528,
05/05/2021,01/01/2020,05/01/2021,AL,Choctaw County,1023,Noncore,15,162,
05/05/2021,01/01/2020,05/01/2021,AL,Clarke County,1025,Noncore,17,405,
05/05/2021,01/01/2020,05/01/2021,AL,Clay County,1027,Noncore,34,262,
05/05/2021,01/01/2020,05/01/2021,AL,Cleburne County,1029,Noncore,15,191,
05/05/2021,01/01/2020,05/01/2021,AL,Coffee County,1031,Micropolitan,77,746,
05/05/2021,01/01/2020,05/01/2021,AL,Colbert County,1033,Small metro,171,996,
05/05/2021,01/01/2020,05/01/2021,AL,Conecuh County,1035,Noncore,10,176,
05/05/2021,01/01/2020,05/01/2021,AL,Coosa County,1037,Micropolitan,,114,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AL,Covington County,1039,Noncore,103,779,
05/05/2021,01/01/2020,05/01/2021,AL,Crenshaw County,1041,Noncore,31,263,
05/05/2021,01/01/2020,05/01/2021,AL,Cullman County,1043,Micropolitan,209,1583,
05/05/2021,01/01/2020,05/01/2021,AL,Dale County,1045,Micropolitan,72,626,
05/05/2021,01/01/2020,05/01/2021,AL,Dallas County,1047,Micropolitan,113,717,
05/05/2021,01/01/2020,05/01/2021,AL,DeKalb County,1049,Noncore,109,1044,
05/05/2021,01/01/2020,05/01/2021,AL,Elmore County,1051,Medium metro,57,950,
05/05/2021,01/01/2020,05/01/2021,AL,Escambia County,1053,Noncore,53,558,
05/05/2021,01/01/2020,05/01/2021,AL,Etowah County,1055,Small metro,379,2380,
05/05/2021,01/01/2020,05/01/2021,AL,Fayette County,1057,Noncore,25,222,
05/05/2021,01/01/2020,05/01/2021,AL,Franklin County,1059,Noncore,30,435,
05/05/2021,01/01/2020,05/01/2021,AL,Geneva County,1061,Small metro,32,454,
05/05/2021,01/01/2020,05/01/2021,AL,Greene County,1063,Noncore,,99,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AL,Hale County,1065,Small metro,19,216,
05/05/2021,01/01/2020,05/01/2021,AL,Henry County,1067,Small metro,,202,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AL,Houston County,1069,Small metro,553,2872,
05/05/2021,01/01/2020,05/01/2021,AL,Jackson County,1071,Micropolitan,66,902,
05/05/2021,01/01/2020,05/01/2021,AL,Jefferson County,1073,Large central metro,2138,15097,
05/05/2021,01/01/2020,05/01/2021,AL,Lamar County,1075,Noncore,,154,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
05/05/2021,01/01/2020,05/01/2021,AL,Lauderdale County,1077,Small metro,265,2112,
05/05/2021,01/01/2020,05/01/2021,AL,Lawrence County,1079,Small metro,26,454,
05/05/2021,01/01/2020,05/01/2021,AL,Lee County,1081,Small metro,297,1824,
05/05/2021,01/01/2020,05/01/2021,AL,Limestone County,1083,Medium metro,114,1170,
